=======================================================================================
AI DATA FILE - Default
=======================================================================================

Replacement Symbols used: 
[%OurEmperorTitle]     - Our Emperor's Title
[%OurEmperorName]      - Our Emperor's Name
[%OurEmpireName]       - Our Empire Name
[%TargetEmperorTitle]  - Target Emperor's Title       (Player who gets message)
[%TargetEmperorName]   - Target Emperor's Name
[%TargetEmpireName]    - Target Empire Name
[%OtherEmperorTitle]   - Other Emperor's Title        (Player who this message is talking about, third empire)
[%OtherEmperorName]    - Other Emperor's Name
[%OtherEmpireName]     - Other Empire Name            
[%TreatyName]          - Current Treaty 
[%ProposedTreatyName]  - Proposed Treaty
[%SystemName]          - Target System
[%PlanetName]          - Target Planet

=======================================================================================
*BEGIN*
=======================================================================================

Number of Send General Message                                    := 5
Send General Message 1                                            := Beware of strange warp points!
Send General Message 2                                            := Mineral planets are the best.
Send General Message 3                                            := Your growth is astonishing!
Send General Message 4                                            := We have found many rich deposits in the nearby asteroid fields. 
Send General Message 5                                            := We admire your recent advances.
Number of Send Propose Treaty                                     := 5
Send Propose Treaty 1                                             := We would like to propose a treaty of [%ProposedTreatyName].
Send Propose Treaty 2                                             := A treaty of [%ProposedTreatyName] would benefit us both.
Send Propose Treaty 3                                             := Please ally yourselves with us in a [%ProposedTreatyName] treaty.
Send Propose Treaty 4                                             := We propose a treaty of [%ProposedTreatyName].
Send Propose Treaty 5                                             := We offer a treaty of [%ProposedTreatyName] in the hopes of better relations.
Number of Send Accept Treaty                                      := 5
Send Accept Treaty 1                                              := Your offer is acceptable.
Send Accept Treaty 2                                              := Our regents have reviewed your proposal and we accept. 
Send Accept Treaty 3                                              := We welcome our new ally. 
Send Accept Treaty 4                                              := We accept your proposal!
Send Accept Treaty 5                                              := A new day of cooperation has dawned!
Number of Send Refuse Treaty                                      := 5
Send Refuse Treaty 1                                              := Our regents have rejected your proposal. 
Send Refuse Treaty 2                                              := We cannot accept your proposal at this time.
Send Refuse Treaty 3                                              := Now is not the time for alliances. 
Send Refuse Treaty 4                                              := We must refuse your proposal at this time. 
Send Refuse Treaty 5                                              := We do not entirely trust you. Your treaty can wait for now.
Number of Send Offer Counter Treaty Proposal                      := 5
Send Offer Counter Treaty Proposal 1                              := We would prefer a [%ProposedTreatyName] treaty.
Send Offer Counter Treaty Proposal 2                              := A [%ProposedTreatyName] treaty would better suit our needs.
Send Offer Counter Treaty Proposal 3                              := We can only accept a treaty of [%ProposedTreatyName].
Send Offer Counter Treaty Proposal 4                              := Your offer is interesting, but we propose a [%ProposedTreatyName].
Send Offer Counter Treaty Proposal 5                              := Your offer is not acceptable. We counter with an offer of [%ProposedTreatyName].
Number of Send Break Treaty                                       := 5
Send Break Treaty 1                                               := Due to recent events, we must break our treaty.
Send Break Treaty 2                                               := Consider our treaty broken, and our relations severed.
Send Break Treaty 3                                               := Our continued alliance is unsatisfactory.
Send Break Treaty 4                                               := We must break our treaty.
Send Break Treaty 5                                               := Our treaty is dust. You will have to work hard to deserve it again. 
Number of Send Declare War                                        := 5
Send Declare War 1                                                := You have pushed us into a corner. There must be war. 
Send Declare War 2                                                := Though we are not a violent species, you have left us no choice. We declare war on your reckless society. 
Send Declare War 3                                                := We regret that your actions leave us no choice. War has come between us. 
Send Declare War 4                                                := You have defiled us for the last time! There will be war!
Send Declare War 5                                                := Your cities shall burn with our vengeful fire!
Number of Send Propose Trade                                      := 5
Send Propose Trade 1                                              := We wish to trade with your people.
Send Propose Trade 2                                              := This trade is mutually beneficial for our peoples. 
Send Propose Trade 3                                              := There are several items we are looking to procure. 
Send Propose Trade 4                                              := We propose a trade of these items.
Send Propose Trade 5                                              := We offer an excellent bargain!
Number of Send Accept Trade                                       := 5
Send Accept Trade 1                                               := Your proposed trade is acceptable to us.
Send Accept Trade 2                                               := This deal has been accepted by our regents. 
Send Accept Trade 3                                               := You are a skilled trader. We accept your offer. 
Send Accept Trade 4                                               := We accept your generous trade offer.
Send Accept Trade 5                                               := Trade accepted. Please come again.
