=======================================================================================
AI DATA FILE - Default
=======================================================================================

Replacement Symbols used: 
[%OurEmperorTitle]     - Our Emperor's Title
[%OurEmperorName]      - Our Emperor's Name
[%OurEmpireName]       - Our Empire Name
[%TargetEmperorTitle]  - Target Emperor's Title       (Player who gets message)
[%TargetEmperorName]   - Target Emperor's Name
[%TargetEmpireName]    - Target Empire Name
[%OtherEmperorTitle]   - Other Emperor's Title        (Player who this message is talking about, third empire)
[%OtherEmperorName]    - Other Emperor's Name
[%OtherEmpireName]     - Other Empire Name            
[%TreatyName]          - Current Treaty 
[%ProposedTreatyName]  - Proposed Treaty
[%SystemName]          - Target System
[%PlanetName]          - Target Planet

=======================================================================================
*BEGIN*
=======================================================================================

Number of Send General Message                                    := 3
Send General Message 1                                            := Beware of strange warp points!
Send General Message 2                                            := Mineral planets are the best.
Send General Message 3                                            := Your growth is astonishing!
Number of Send Propose Treaty                                     := 1
Send Propose Treaty 1                                             := We propose a treaty of [%ProposedTreatyName].
Send Propose Treaty 2                                             := 
Send Propose Treaty 3                                             := 
Number of Send Accept Treaty                                      := 1
Send Accept Treaty 1                                              := We accept your proposal!
Send Accept Treaty 2                                              := 
Send Accept Treaty 3                                              := 
Number of Send Refuse Treaty                                      := 1
Send Refuse Treaty 1                                              := We must refuse your proposal at this time. 
Send Refuse Treaty 2                                              := 
Send Refuse Treaty 3                                              := 
Number of Send Offer Counter Treaty Proposal                      := 1
Send Offer Counter Treaty Proposal 1                              := Your offer is interesting, but we propose a [%ProposedTreatyName].
Send Offer Counter Treaty Proposal 2                              := 
Send Offer Counter Treaty Proposal 3                              := 
Number of Send Break Treaty                                       := 1
Send Break Treaty 1                                               := We must break our treaty.
Send Break Treaty 2                                               := 
Send Break Treaty 3                                               := 
Number of Send Declare War                                        := 1
Send Declare War 1                                                := You have defiled us for the last time! There will be war!
Send Declare War 2                                                := 
Send Declare War 3                                                := 
Number of Send Propose Trade                                      := 1
Send Propose Trade 1                                              := We propose a trade of these items.
Send Propose Trade 2                                              := 
Send Propose Trade 3                                              := 
Number of Send Accept Trade                                       := 1
Send Accept Trade 1                                               := We accept your generous trade offer.
Send Accept Trade 2                                               := 
Send Accept Trade 3                                               := 
Number of Send Refuse Trade                                       := 1
Send Refuse Trade 1                                               := Your proposed trade is not beneficial to us. We must decline.
Send Refuse Trade 2                                               := 
Send Refuse Trade 3                                               := 
Number of Send Offer Counter Trade Proposal                       := 1
Send Offer Counter Trade Proposal 1                               := Your proposed trade is interesting, but we have a better trade proposal.
Send Offer Counter Trade Proposal 2                               := 
Send Offer Counter Trade Proposal 3                               := 
Number of Send Give Gift                                          := 1
Send Give Gift 1                                                  := Here is a gift from our empire to yours.
Send Give Gift 2                                                  := 
Send Give Gift 3                                                  := 
Number of Send Accept Gift                                        := 1
Send Accept Gift 1                                                := Thank-you for the generous gift.
Send Accept Gift 2                                                := 
Send Accept Gift 3                                                := 
Number of Send Refuse Gift                                        := 1
Send Refuse Gift 1                                                := Your gift is insulting, we must refuse it.
Send Refuse Gift 2                                                := 
Send Refuse Gift 3                                                := 
Number of Send Offer Tribute                                      := 1
Send Offer Tribute 1                                              := Here is a tribute to your most respected empire.
Send Offer Tribute 2                                              := 
Send Offer Tribute 3                                              := 
Number of Send Accept Tribute                                     := 1
Send Accept Tribute 1                                             := We accept your tribute.
Send Accept Tribute 2                                             := 
Send Accept Tribute 3                                             := 
Number of Send Refuse Tribute                                     := 1
Send Refuse Tribute 1                                             := Your tribute is pathetic. We refuse it!
Send Refuse Tribute 2                                             := 
Send Refuse Tribute 3                                             := 
Number of Send Want a gift                                        := 1
Send Want a gift 1                                                := We require a gift to show your devotion.
Send Want a gift 2                                                := 
Send Want a gift 3                                                := 
Number of Send Want a tribute                                     := 1
Send Want a tribute 1                                             := Its time to show your allegiance with a gift.
Send Want a tribute 2                                             := 
Send Want a tribute 3                                             := 
Number of Send Demand your surrender                              := 1
