=======================================================================================
STRINGS DATA FILE
=======================================================================================

=======================================================================================
*BEGIN*
=======================================================================================

Language Version 1                                     := (English)
AbilitiesBase 1                                        := [%ShieldPointsGenerated]
AbilitiesInherent 1                                    := Number of Abilities
AbilitiesInherent 2                                    := Ability
AbilitiesInherent 3                                    := Type
AbilitiesInherent 4                                    := Descr
AbilitiesInherent 5                                    := Val 1
AbilitiesInherent 6                                    := Val 2
Ability 1                                              := None
Ability 2                                              := Random
Ability 3                                              := Warp Point - Unstable
Ability 4                                              := Warp Point - Turbulence
Ability 5                                              := Warp Point - Periodic
Ability 6                                              := Warp Point - Ability Required
Ability 7                                              := Star - Unstable
Ability 8                                              := Sector - Sight Obscuration
Ability 9                                              := Sector - Sensor Interference
Ability 10                                             := Sector - Shield Disruption
Ability 11                                             := Sector - Damage
Ability 12                                             := Sector - Ability Required
Ability 13                                             := Resource Generation - Minerals
Ability 14                                             := Resource Generation - Organics
Ability 15                                             := Resource Generation - Radioactives
Ability 16                                             := Point Generation - Research
Ability 17                                             := Point Generation - Intelligence
Ability 18                                             := Spaceport
Ability 19                                             := Palace
Ability 20                                             := Supply Generation
Ability 21                                             := Planet - Change Minerals Value
Ability 22                                             := Planet - Change Organics Value
Ability 23                                             := Planet - Change Radioactives Value
Ability 24                                             := Planet - Change Conditions
Ability 25                                             := Planet - Change Population Happiness
Ability 26                                             := Planet - Change Ground Defense
Ability 27                                             := Planet - Shield Generation
Ability 28                                             := Shield Generation
Ability 29                                             := Phased Shield Generation
Ability 30                                             := Component Repair
Ability 31                                             := Cargo Storage
Ability 32                                             := Drop Troops
Ability 33                                             := Launch/Recover Fighters
Ability 34                                             := Lay Mines
Ability 35                                             := Multiplex Tracking
Ability 36                                             := Combat To Hit Offense Plus
Ability 37                                             := Combat To Hit Defense Plus
Ability 38                                             := Mine Sweeping
Ability 39                                             := Medical Bay
Ability 40                                             := Resupply Pod
Ability 41                                             := Movement Bonus
Ability 42                                             := Emissive Armor
Ability 43                                             := Shield Regeneration
Ability 44                                             := Master Computer
Ability 45                                             := Cloak Level
Ability 46                                             := Sensor Level
Ability 47                                             := Emergency Resupply
Ability 48                                             := Emergency Energy
Ability 49                                             := Long Range Scanner
Ability 50                                             := Open Warp Point Distance
Ability 51                                             := Create Planet Size
Ability 52                                             := Destroy Planet Size
Ability 53                                             := Boarding Attack
Ability 54                                             := Boarding Defense
Ability 55                                             := Standard Ship Movement
Ability 56                                             := Ship Bridge
Ability 57                                             := Ship Auxiliary Control
Ability 58                                             := Ship Life Support
